pka_energy,diffusivity,h0,run,final_magnetization,timestamp
5000,1.0,0.08,1,-0.9567111111111112,2025-02-23 10:38:52
5000,1.0,0.08,2,-0.9539555555555556,2025-02-23 10:38:52
5000,1.0,0.08,3,-0.9500444444444444,2025-02-23 10:38:52
5000,1.0,0.08,4,-0.9559111111111112,2025-02-23 10:38:52
5000,1.0,0.08,5,-0.9495111111111112,2025-02-23 10:38:52
5000,1.0,0.08,6,-0.9576,2025-02-23 10:38:52
5000,1.0,0.08,7,-0.9562666666666668,2025-02-23 10:38:52
5000,1.0,0.08,8,-0.9502222222222222,2025-02-23 10:38:52
5000,1.0,0.08,9,-0.9544,2025-02-23 10:38:52
5000,1.0,0.08,10,-0.9500444444444444,2025-02-23 10:38:52
5000,1.0,0.08,11,-0.9531555555555556,2025-02-23 10:38:52
5000,1.0,0.08,12,-0.9501333333333334,2025-02-23 10:38:52
5000,1.0,0.08,13,-0.9504,2025-02-23 10:38:52
5000,1.0,0.08,14,-0.9469333333333332,2025-02-23 10:38:52
5000,1.0,0.08,15,-0.956,2025-02-23 10:38:52
5000,1.0,0.08,16,-0.9515555555555556,2025-02-23 10:38:52
5000,1.0,0.08,17,-0.9568,2025-02-23 10:38:52
5000,1.0,0.08,18,-0.9487111111111112,2025-02-23 10:38:52
5000,1.0,0.08,19,-0.9464,2025-02-23 10:38:52
5000,1.0,0.08,20,-0.9536,2025-02-23 10:38:52
5000,1.0,0.08,21,-0.9477333333333332,2025-02-23 10:38:52
5000,1.0,0.08,22,-0.9543111111111112,2025-02-23 10:38:52
5000,1.0,0.08,23,-0.9499555555555556,2025-02-23 10:38:52
5000,1.0,0.08,24,-0.9521777777777778,2025-02-23 10:38:52
5000,1.0,0.08,25,-0.9486222222222224,2025-02-23 10:38:52
5100,1.0,0.08,1,-0.9519111111111112,2025-02-23 10:38:52
5100,1.0,0.08,2,-0.9563555555555556,2025-02-23 10:38:52
5100,1.0,0.08,3,-0.9462222222222222,2025-02-23 10:38:52
5100,1.0,0.08,4,-0.2095111111111111,2025-02-23 10:38:52
5100,1.0,0.08,5,-0.9509333333333332,2025-02-23 10:38:52
5100,1.0,0.08,6,-0.9513777777777778,2025-02-23 10:38:52
5100,1.0,0.08,7,-0.9470222222222222,2025-02-23 10:38:52
5100,1.0,0.08,8,-0.9589333333333332,2025-02-23 10:38:52
5100,1.0,0.08,9,-0.9511111111111112,2025-02-23 10:38:52
5100,1.0,0.08,10,-0.9504888888888888,2025-02-23 10:38:52
5100,1.0,0.08,11,-0.9516444444444444,2025-02-23 10:38:52
5100,1.0,0.08,12,-0.9507555555555556,2025-02-23 10:38:52
5100,1.0,0.08,13,-0.9405333333333332,2025-02-23 10:38:52
5100,1.0,0.08,14,-0.9532444444444444,2025-02-23 10:38:52
5100,1.0,0.08,15,-0.9507555555555556,2025-02-23 10:38:52
5100,1.0,0.08,16,-0.9572444444444445,2025-02-23 10:38:52
5100,1.0,0.08,17,-0.9516444444444444,2025-02-23 10:38:52
5100,1.0,0.08,18,-0.9526222222222224,2025-02-23 10:38:52
5100,1.0,0.08,19,-0.9534222222222222,2025-02-23 10:38:52
5100,1.0,0.08,20,-0.9519111111111112,2025-02-23 10:38:52
5100,1.0,0.08,21,-0.9484444444444444,2025-02-23 10:38:52
5100,1.0,0.08,22,-0.9533333333333334,2025-02-23 10:38:52
5100,1.0,0.08,23,-0.9545777777777776,2025-02-23 10:38:52
5100,1.0,0.08,24,-0.9433777777777778,2025-02-23 10:38:52
5100,1.0,0.08,25,-0.9503111111111112,2025-02-23 10:38:52
5200,1.0,0.08,1,-0.9498666666666666,2025-02-23 10:38:52
5200,1.0,0.08,2,-0.9512888888888889,2025-02-23 10:38:52
5200,1.0,0.08,3,-0.9512888888888889,2025-02-23 10:38:52
5200,1.0,0.08,4,-0.5670222222222222,2025-02-23 10:38:52
5200,1.0,0.08,5,-0.9450666666666668,2025-02-23 10:38:52
5200,1.0,0.08,6,-0.9503111111111112,2025-02-23 10:38:52
5200,1.0,0.08,7,-0.9523555555555556,2025-02-23 10:38:52
5200,1.0,0.08,8,-0.9573333333333334,2025-02-23 10:38:52
5200,1.0,0.08,9,-0.9529777777777778,2025-02-23 10:38:52
5200,1.0,0.08,10,-0.9490666666666666,2025-02-23 10:38:52
5200,1.0,0.08,11,-0.9493333333333334,2025-02-23 10:38:52
5200,1.0,0.08,12,-0.9536888888888888,2025-02-23 10:38:52
5200,1.0,0.08,13,-0.9455111111111112,2025-02-23 10:38:52
5200,1.0,0.08,14,-0.952,2025-02-23 10:38:52
5200,1.0,0.08,15,-0.952,2025-02-23 10:38:52
5200,1.0,0.08,16,-0.9477333333333332,2025-02-23 10:38:52
5200,1.0,0.08,17,-0.9553777777777778,2025-02-23 10:38:52
5200,1.0,0.08,18,-0.9504,2025-02-23 10:38:52
5200,1.0,0.08,19,-0.9502222222222222,2025-02-23 10:38:52
5200,1.0,0.08,20,-0.9519111111111112,2025-02-23 10:38:52
5200,1.0,0.08,21,-0.9437333333333332,2025-02-23 10:38:52
5200,1.0,0.08,22,-0.9507555555555556,2025-02-23 10:38:52
5200,1.0,0.08,23,-0.9496,2025-02-23 10:38:52
5200,1.0,0.08,24,-0.9553777777777778,2025-02-23 10:38:52
5200,1.0,0.08,25,-0.9512,2025-02-23 10:38:52
5300,1.0,0.08,1,-0.9500444444444444,2025-02-23 10:38:52
5300,1.0,0.08,2,-0.9528,2025-02-23 10:38:52
5300,1.0,0.08,3,-0.9552888888888889,2025-02-23 10:38:52
5300,1.0,0.08,4,-0.9510222222222222,2025-02-23 10:38:52
5300,1.0,0.08,5,-0.9543111111111112,2025-02-23 10:38:52
5300,1.0,0.08,6,-0.9499555555555556,2025-02-23 10:38:52
5300,1.0,0.08,7,-0.9542222222222222,2025-02-23 10:38:52
5300,1.0,0.08,8,-0.9476444444444444,2025-02-23 10:38:52
5300,1.0,0.08,9,-0.9536888888888888,2025-02-23 10:38:52
5300,1.0,0.08,10,-0.9506666666666668,2025-02-23 10:38:52
5300,1.0,0.08,11,-0.9475555555555556,2025-02-23 10:38:52
5300,1.0,0.08,12,-0.9504888888888888,2025-02-23 10:38:52
5300,1.0,0.08,13,-0.9495111111111112,2025-02-23 10:38:52
5300,1.0,0.08,14,-0.9512,2025-02-23 10:38:52
5300,1.0,0.08,15,-0.9516444444444444,2025-02-23 10:38:52
5300,1.0,0.08,16,-0.9536888888888888,2025-02-23 10:38:52
5300,1.0,0.08,17,-0.9532444444444444,2025-02-23 10:38:52
5300,1.0,0.08,18,-0.9485333333333332,2025-02-23 10:38:52
5300,1.0,0.08,19,-0.9536,2025-02-23 10:38:52
5300,1.0,0.08,20,-0.9516444444444444,2025-02-23 10:38:52
5300,1.0,0.08,21,-0.9522666666666668,2025-02-23 10:38:52
5300,1.0,0.08,22,-0.9464,2025-02-23 10:38:52
5300,1.0,0.08,23,-0.9535111111111112,2025-02-23 10:38:52
5300,1.0,0.08,24,-0.9518222222222222,2025-02-23 10:38:52
5300,1.0,0.08,25,-0.9567111111111112,2025-02-23 10:38:52
5400,1.0,0.08,1,-0.9504888888888888,2025-02-23 10:38:52
5400,1.0,0.08,2,-0.9574222222222222,2025-02-23 10:38:52
5400,1.0,0.08,3,-0.9547555555555556,2025-02-23 10:38:52
5400,1.0,0.08,4,-0.9550222222222222,2025-02-23 10:38:52
5400,1.0,0.08,5,-0.9488,2025-02-23 10:38:52
5400,1.0,0.08,6,-0.9504888888888888,2025-02-23 10:38:52
5400,1.0,0.08,7,-0.9455111111111112,2025-02-23 10:38:52
5400,1.0,0.08,8,-0.9498666666666666,2025-02-23 10:38:52
5400,1.0,0.08,9,-0.9469333333333332,2025-02-23 10:38:52
5400,1.0,0.08,10,-0.9552888888888889,2025-02-23 10:38:52
5400,1.0,0.08,11,-0.9544,2025-02-23 10:38:52
5400,1.0,0.08,12,-0.9510222222222222,2025-02-23 10:38:52
5400,1.0,0.08,13,-0.9559111111111112,2025-02-23 10:38:52
5400,1.0,0.08,14,-0.9459555555555555,2025-02-23 10:38:52
5400,1.0,0.08,15,-0.9499555555555556,2025-02-23 10:38:52
5400,1.0,0.08,16,-0.9527111111111112,2025-02-23 10:38:52
5400,1.0,0.08,17,-0.9476444444444444,2025-02-23 10:38:52
5400,1.0,0.08,18,-0.9526222222222224,2025-02-23 10:38:52
5400,1.0,0.08,19,-0.9512,2025-02-23 10:38:52
5400,1.0,0.08,20,0.2508444444444444,2025-02-23 10:38:52
5400,1.0,0.08,21,-0.9536,2025-02-23 10:38:52
5400,1.0,0.08,22,-0.9518222222222222,2025-02-23 10:38:52
5400,1.0,0.08,23,-0.9533333333333334,2025-02-23 10:38:52
5400,1.0,0.08,24,-0.9536888888888888,2025-02-23 10:38:52
5400,1.0,0.08,25,-0.9467555555555556,2025-02-23 10:38:52
5500,1.0,0.08,1,-0.9539555555555556,2025-02-23 10:38:52
5500,1.0,0.08,2,-0.9477333333333332,2025-02-23 10:38:52
5500,1.0,0.08,3,-0.9543111111111112,2025-02-23 10:38:52
5500,1.0,0.08,4,-0.9456,2025-02-23 10:38:52
5500,1.0,0.08,5,-0.9483555555555556,2025-02-23 10:38:52
5500,1.0,0.08,6,-0.9516444444444444,2025-02-23 10:38:52
5500,1.0,0.08,7,-0.9519111111111112,2025-02-23 10:38:52
5500,1.0,0.08,8,-0.9496,2025-02-23 10:38:52
5500,1.0,0.08,9,-0.9543111111111112,2025-02-23 10:38:52
5500,1.0,0.08,10,-0.9510222222222222,2025-02-23 10:38:52
5500,1.0,0.08,11,-0.9518222222222222,2025-02-23 10:38:52
5500,1.0,0.08,12,-0.9505777777777776,2025-02-23 10:38:52
5500,1.0,0.08,13,-0.9536,2025-02-23 10:38:52
5500,1.0,0.08,14,-0.9451555555555556,2025-02-23 10:38:52
5500,1.0,0.08,15,-0.9511111111111112,2025-02-23 10:38:52
5500,1.0,0.08,16,-0.9504,2025-02-23 10:38:52
5500,1.0,0.08,17,-0.9530666666666666,2025-02-23 10:38:52
5500,1.0,0.08,18,-0.9472888888888888,2025-02-23 10:38:52
5500,1.0,0.08,19,-0.2737777777777778,2025-02-23 10:38:52
5500,1.0,0.08,20,-0.9532444444444444,2025-02-23 10:38:52
5500,1.0,0.08,21,-0.9491555555555556,2025-02-23 10:38:52
5500,1.0,0.08,22,-0.9472,2025-02-23 10:38:52
5500,1.0,0.08,23,-0.948,2025-02-23 10:38:52
5500,1.0,0.08,24,-0.9555555555555556,2025-02-23 10:38:52
5500,1.0,0.08,25,-0.9487111111111112,2025-02-23 10:38:52
5600,1.0,0.08,1,-0.9457777777777778,2025-02-23 10:38:52
5600,1.0,0.08,2,-0.9488,2025-02-23 10:38:52
5600,1.0,0.08,3,-0.9472,2025-02-23 10:38:52
5600,1.0,0.08,4,-0.9443555555555556,2025-02-23 10:38:52
5600,1.0,0.08,5,-0.9506666666666668,2025-02-23 10:38:52
5600,1.0,0.08,6,-0.9530666666666666,2025-02-23 10:38:52
5600,1.0,0.08,7,-0.9544888888888888,2025-02-23 10:38:52
5600,1.0,0.08,8,-0.9448,2025-02-23 10:38:52
5600,1.0,0.08,9,0.5001777777777778,2025-02-23 10:38:52
5600,1.0,0.08,10,-0.9535111111111112,2025-02-23 10:38:52
5600,1.0,0.08,11,-0.0271111111111111,2025-02-23 10:38:52
5600,1.0,0.08,12,-0.9536,2025-02-23 10:38:52
5600,1.0,0.08,13,0.952,2025-02-23 10:38:52
5600,1.0,0.08,14,-0.9482666666666668,2025-02-23 10:38:52
5600,1.0,0.08,15,-0.9524444444444444,2025-02-23 10:38:52
5600,1.0,0.08,16,-0.9486222222222224,2025-02-23 10:38:52
5600,1.0,0.08,17,0.3256,2025-02-23 10:38:52
5600,1.0,0.08,18,-0.9542222222222222,2025-02-23 10:38:52
5600,1.0,0.08,19,-0.9514666666666668,2025-02-23 10:38:52
5600,1.0,0.08,20,-0.9557333333333332,2025-02-23 10:38:52
